PASCO,,FLIR
147.6,-0.098558,147.6,326.5978394
148.05,-0.0989,148.066,325.811615
148.45,-0.098898,148.466,323.1686096
148.85,-0.104081,148.866,324.5210876
149.25,-0.09835,149.266,320.4031067
149.65,-0.098386,149.666,320.8636475
150,-0.098558,150,318.4703979
150.45,-0.099249,150.466,321.9664917
150.8,-0.099251,150.8,325.1063538
151.2,-0.099939,151.199,324.4026489
151.6,-0.099942,151.6,323.1305542
151.95,-0.098212,151.933,323.6842346
152.35,-0.098038,152.333,322.4322815
152.8,-0.09804,152.8,321.5870972
153.2,-0.098042,153.199,323.9818115
153.65,-0.097866,153.666,319.7342834
154,-0.097868,154,321.6751709
154.4,-0.09804,154.4,323.8033447
154.75,-0.098214,154.733,326.724884
155.15,-0.098212,155.133,328.3811646
155.55,-0.09804,155.533,327.8313599
155.85,-0.098212,155.866,326.7989197
156.25,-0.098214,156.266,328.7255859
156.65,-0.098384,156.666,327.1685791
157.05,-0.09804,157.066,323.7384033
157.45,-0.098384,157.466,324.6179199
157.85,-0.09804,157.866,320.3975525
158.2,-0.098384,158.199,322.1036682
158.65,-0.097696,158.666,319.6224365
159,-0.098212,159,323.6408997
159.45,-0.097696,159.466,325.7316589
159.8,-0.098214,159.8,327.752655
160.2,-0.097694,160.199,326.4653625
160.6,-0.098042,160.6,326.8147888
161,-0.097696,161,325.0795593
161.4,-0.097868,161.4,323.2773438
161.8,-0.097866,161.8,323.043457
162.15,-0.09804,162.133,321.8511353
162.6,-0.098212,162.6,320.0524292
162.95,-0.098212,162.933,316.8964233
163.4,-0.098207,163.4,320.6030884
163.75,-0.098212,163.733,318.594574
164.2,-0.098202,164.199,324.4995728
164.55,-0.098214,164.533,321.5044556
164.95,-0.098042,164.933,324.5264893
165.4,-0.098384,165.4,323.9818115
165.75,-0.09804,165.733,323.8953247
166.2,-0.098207,166.199,322.8364258
166.55,-0.09804,166.533,319.1965942
166.95,-0.098556,166.933,321.2673035
167.35,-0.09804,167.333,319.7677917
167.75,-0.09873,167.733,322.2461853
168.15,-0.098384,168.133,319.4769287
168.55,-0.098728,168.533,321.438324
168.95,-0.098382,168.933,319.4265137
169.35,-0.099246,169.333,321.8071594
169.8,-0.098556,169.8,319.09552
170.15,-0.098556,170.133,320.719574
170.6,-0.098556,170.6,319.8013306
170.95,-0.098384,170.933,321.0020447
171.35,-0.098382,171.333,321.8071594
171.65,-0.098384,171.666,320.7140198
172.15,-0.098886,172.133,322.3994751
172.55,-0.098558,172.533,320.9743652
172.95,-0.098733,172.933,322.0542908
173.25,-0.098384,173.266,319.7677917
173.6,-0.098384,173.6,321.7411804
174,-0.09873,174,318.3517761
174.4,-0.098384,174.4,318.1425171
174.75,-0.098207,174.733,316.1852112
175.15,-0.098554,175.133,318.2782898
175.55,-0.09804,175.533,316.236969
175.95,-0.098386,175.933,321.7686768
176.35,-0.09804,176.333,323.1196594
176.8,-0.09804,176.8,324.5641479
177.15,-0.09804,177.133,327.9624939
177.55,-0.098042,177.533,323.9818115
177.95,-0.098907,177.933,325.8542175
178.35,-0.098384,178.333,324.9240723
178.75,-0.098042,178.733,323.7492371
179.15,-0.097868,179.133,319.8739014
179.6,-0.097696,179.6,326.2052917
179.95,-0.097694,179.933,325.5822754
180.35,-0.097696,180.333,328.9130859
180.65,-0.097519,180.666,326.1149597
181.15,-0.097696,181.133,326.9257813
181.45,-0.09787,181.466,328.3707275
181.85,-0.098042,181.866,326.2478027
182.25,-0.09804,182.266,324.9508972
182.65,-0.09804,182.666,318.8537292
183.05,-0.098212,183.066,320.5975342
183.55,-0.098212,183.533,317.8137207
183.85,-0.098558,183.866,320.5808716
184.35,-0.098902,184.333,319.4433289
184.75,-0.098212,184.733,322.3447571
185.15,-0.098382,185.133,324.030426
185.55,-0.098384,185.533,326.777771
185.95,-0.098556,185.933,326.8676758
186.35,-0.098035,186.333,322.6782227
186.75,-0.098382,186.733,324.5372314
187.15,-0.09804,187.133,319.7454529
187.55,-0.098558,187.533,322.6181335
187.85,-0.098212,187.866,319
188.35,-0.099944,188.333,322.8800354
188.65,-0.098212,188.666,322.2571411
189.05,-0.098214,189.066,326.4070129
189.45,-0.098212,189.466,325.8009338
189.85,-0.098214,189.866,326.7407532
190.25,-0.098386,190.266,325.1331482
190.65,-0.097868,190.666,323.7600403
191.05,-0.098391,191.066,323.0979004
191.45,-0.097868,191.466,319.6280518
191.85,-0.098386,191.866,323.2556152
192.25,-0.097868,192.266,321.944519
192.65,-0.097863,192.666,327.1949463
193.05,-0.097694,193.066,324.5157166
193.45,-0.09787,193.466,327.2792969
193.85,-0.097868,193.866,324.9938049
194.35,-0.097696,194.333,325.4273987
194.65,-0.098038,194.666,325.4167175
195.15,-0.097696,195.133,319.1292419
195.6,-0.098042,195.6,321.0462952
196,-0.097696,196,318.9606323
196.4,-0.098042,196.4,323.1686096
196.75,-0.097694,196.733,319.8236694
197.15,-0.097517,197.133,325.2295227
197.45,-0.097696,197.466,323.1305542
197.85,-0.097698,197.866,327.1580505
198.35,-0.097866,198.333,328.0463257
198.65,-0.097698,198.666,328.3289185
199.15,-0.098212,199.133,325.9873352
199.45,-0.098042,199.466,319.8013306
199.85,-0.098382,199.866,323.5650024
200.25,-0.097868,200.266,320.9743652
200.65,-0.09787,200.666,324.4187927
201.05,-0.097868,201.066,323.7654724
201.45,-0.097696,201.466,328.8974609
201.85,-0.097694,201.866,328.7828979
202.25,-0.097524,202.266,327.8890686
202.6,-0.097696,202.6,327.1949463
203.05,-0.097352,203.066,323.7167358
203.55,-0.097868,203.533,324.8543091
203.95,-0.097352,203.933,321.4328003
204.4,-0.097347,204.4,326.3486633
204.75,-0.097524,204.733,326.4335327
205.2,-0.09718,205.199,328.6630249
205.55,-0.097524,205.533,327.1738586
206,-0.097526,206,329.9861145
206.35,-0.097868,206.333,332.0661926
206.75,-0.097524,206.733,329.0171509
207.15,-0.097691,207.133,329.9241333
207.45,-0.097696,207.466,326.9257813
207.85,-0.097696,207.866,325.0366821
